train_mIoU,epoch,train_F1,step,train_OA,val_F1,val_mIoU,val_OA
0.38695368568371075,332,0.4896574872878299,116216,0.7157890516570782,,,
0.38854924315896927,333,0.4909171072691378,116565,0.7180559437049493,,,
0.38862650007907557,334,0.49106830947958624,116914,0.7174864279848114,,,
0.38789113394524016,335,0.49041149738455325,117263,0.7168497779649443,,,
0.3879275954824337,336,0.49044931167559475,117612,0.7168409025088421,,,
0.3903240981829658,337,0.49234619042834976,117961,0.7196709050831616,,,
0.39139292511715124,338,0.49322301893493886,118310,0.7207333802493731,,,
,339,,118659,,0.5673712243507568,0.46350338724213636,0.7833847196975545
0.38613671566780106,339,0.4890285510239211,118659,0.715112877438608,,,
0.3865863795065339,340,0.48935924911176193,119008,0.7157994792249618,,,
0.387646783445777,341,0.4902346836550013,119357,0.7167084483499171,,,
0.3864344238646664,342,0.48924690771738505,119706,0.71548732987106,,,
0.3899659109811702,343,0.49205774200301944,120055,0.7194347654850912,,,
0.38600122237125617,344,0.4888764251374836,120404,0.7154142931744156,,,
0.385837862510158,345,0.4888579227090151,120753,0.7143398601892683,,,
0.38485462678044896,346,0.48794879559249466,121102,0.7139563136934208,,,
0.3878653462758804,347,0.4903925728532988,121451,0.7168875533052023,,,
0.383894984985518,348,0.48718101664624697,121800,0.7125636759323513,,,
,349,,122149,,0.5394911686846794,0.44776361756206473,0.7818733441947698
0.38460759574492925,349,0.4878022321374189,122149,0.7137035599410704,,,
0.3886926434177369,350,0.4910428067515476,122498,0.7180843189316013,,,
0.3891767141087394,351,0.4914341160464872,122847,0.7188260753380192,,,
0.3882093846969794,352,0.49062985299755096,123196,0.7182772398678142,,,
0.3882345790602287,353,0.4907213745975271,123545,0.7174533308406271,,,
0.3886733253860514,354,0.4910323346851513,123894,0.7180466091735314,,,
0.38943381575741354,355,0.49164366632443657,124243,0.7189346138590726,,,
0.38852910208364616,356,0.49092323000429533,124592,0.7176839615349099,,,
0.3868274527989893,357,0.489566987747378,124941,0.7157577470926978,,,
